43712,LNG,Clean Energy - Chicago Stevenson Expressway,4220 W 36th St,,Chicago,IL,60632,,866-809-4869, 200,2014-06-15,PLANNED - not yet accessible (Public - Card key at all times),24 hours daily; Call 866-809-4869 for Clean Energy card,CleanEnergy,,,,,,,,,,200-8,41.8273129,-87.7289759,2014-04-04,2014-04-04 13:54:09,P,,,,,HD,,,"(41.8273129,-87.7289759)"
46807,ELEC,Mid City Nissan,4444 W Irving Park Rd,,Chicago,IL,60641,,773-282-6200, 200,,Private,,,,,,,1,,,,,200-8,41.953683,-87.7396481,2014-04-21,2014-04-21 13:26:46,P,,,2012-01-31,,,,,"(41.953683,-87.7396481)"
40794,ELEC,O'Hare Airport - Short Term Parking,10000 Bessie Coleman Dr,Located in row 2 on the first floor,Chicago,IL,60666,,, 200,,Public,24 hours daily; pay lot,,,,,,1,,,,,200-8,41.9812852,-87.8851447,2013-12-31,2014-04-21 13:23:55,P,,,2011-02-11,,,,,"(41.9812852,-87.8851447)"
36612,ELEC,INTERPARK,326 S Wells St,,Chicago,IL,60607,,888-758-4389, 200,,Public,24 hours daily,,,,,2,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.877275,-87.634144,2014-09-16,2014-09-16 02:45:52,,,,,,,,,"(41.877275,-87.634144)"
46806,ELEC,Mid City Nissan,4444 W Irving Park Rd,,Chicago,IL,60641,,773-282-6200, 200,,Public - Call ahead,Dealership business hours,,,,,,1,,,,,200-8,41.953683,-87.7396481,2014-04-21,2014-04-21 13:26:46,P,,,2012-01-31,,,,,"(41.953683,-87.7396481)"
47275,CNG,Clean Energy - Yellow Cab,540 W Grenshaw,S Jefferson St & W Grenshaw St,Chicago,IL,60607,,562-493-2804  866-809-4869  312-362-9176, 200,,Public - Credit card at all times,24 hours daily,A D M V Voyager Wright_Exp CleanEnergy,,Q,3600,,,,,,,GPS,41.868414,-87.641917,2013-07-31,2014-01-20 12:40:14,P,,,2011-03-08,,MD,,,"(41.868414,-87.641917)"
56874,ELEC,900 N MICHIGAN,911 North Rush Street,,Chicago,IL,60611,,888-758-4389, 200,,Public,24 hours daily,,,,,2,3,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.8994924,-87.6268915,2014-09-16,2014-09-16 02:46:39,,,,,,,,,"(41.8994924,-87.6268915)"
40803,ELEC,CHARGEPOINT-JNS,6140 N Western Ave,,Chicago,IL,60659,,888-758-4389, 200,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.9934665,-87.690114,2014-09-16,2014-09-16 02:30:45,,,,,,,,,"(41.9934665,-87.690114)"
60584,ELEC,PARKING A,6054-6098 S Drexel Ave,,Chicago,IL,60637,,888-758-4389, 200,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,GPS,41.784474,-87.6045178,2014-09-16,2014-09-16 02:34:09,,,,,,,,,"(41.784474,-87.6045178)"
63106,ELEC,CHARGEPOINT-JNS,5450 N Clark St,,Chicago,IL,60640,,888-758-4389, 200,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.mychargepoint.net/,200-8,41.981361,-87.668797,2014-09-16,2014-09-16 02:30:23,,,,,,,,,"(41.981361,-87.668797)"
